smile,canonical_ikey,name,source,source_id,status,reframedb_url
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW,Impentri; imatinib mesylate,Sigma-Aldrich,423865798,plated and available for follow-up,https://reframedb.org//compound_data/KTUFNOKKBVMGRW;qid=Q82870894
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF,linezolid; Zyvox,Sigma-Aldrich,NA,plated and available for follow-up,https://reframedb.org//compound_data/TYZROVQLWOKYKF;qid=Q82590933
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX,ritonavir; Norvir,Pharmaron,155213-67-5,plated and available for follow-up,https://reframedb.org//compound_data/NCDNCNXCDXHOMX;qid=Q422618
CN(C)C(=N)NC(=N)N,XZWYZXLIPXDOLR,Fortamet; metformin hydrochloride,Vitas-M,STK011633,plated and available for follow-up,https://reframedb.org//compound_data/XZWYZXLIPXDOLR;qid=Q83006161
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,PJVWKTKQMONHTI,warfarin potassium; warfarin sodium,Vitas-M,STL146414,plated and available for follow-up,https://reframedb.org//compound_data/PJVWKTKQMONHTI;qid=Q83006299
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ,gefitinib; Iressa,Sigma-Aldrich,MFCD04307832,plated and available for follow-up,https://reframedb.org//compound_data/XGALLCVXEZPNRQ;qid=Q82601907
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG,Tarceva; erlotinib hydrochloride,Sigma-Aldrich,MFCD07781272,plated and available for follow-up,https://reframedb.org//compound_data/AAKJLRGGTJKAMG;qid=Q418369
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,NKANXQFJJICGDU,Istubal; tamoxifen citrate,Sigma-Aldrich,T5648,plated and available for follow-up,https://reframedb.org//compound_data/NKANXQFJJICGDU;qid=Q412178
Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH,Caffeine; Blectifor,Sigma-Aldrich,110963158,plated and available for follow-up,https://reframedb.org//compound_data/RYYVLZVUVIJVGH;qid=Q83107787
CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1,IOJUJUOXKXMJNF,NO-ASA; Nitroaspirin,Toronto Research Chemicals,N633000,plated and available for follow-up,https://reframedb.org//compound_data/IOJUJUOXKXMJNF;qid=Q3877377
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,XXSMGPRMXLTPCZ,hydroxychloroquine sulfate; HCQ,Selleck Chemicals,Hydroxychloroquine (HCQ) Sulfate,plated and available for follow-up,https://reframedb.org//compound_data/XXSMGPRMXLTPCZ;qid=Q421094
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,AOJJSUZBOXZQNB,doxorubicin hydrochloride; epirubicin hydrochloride,Sequoia Research Products,SRP04600d,plated and available for follow-up,https://reframedb.org//compound_data/AOJJSUZBOXZQNB;qid=Q82957292
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,NCNRHFGMJRPRSK,belinostat; Beleodaq,MedChem Express,HY-10225,plated and available for follow-up,https://reframedb.org//compound_data/NCNRHFGMJRPRSK;qid=Q4882925
CC(C)=CCC/C(C)=C/CO,GLZPCOQZEFWAFX,Geraniol,MedChem Express,HY-N6952,not plated but available for one-off testing,https://reframedb.org//compound_data/GLZPCOQZEFWAFX;qid=Q410836
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,NOOLISFMXDJSKH,menthol; Rowachol,Sigma-Aldrich,M2780,plated and available for follow-up,https://reframedb.org//compound_data/NOOLISFMXDJSKH;qid=Q82149170
CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C,SJDDOCKBXFJEJB,VX-765; belnacasan,"CEG Chemical Science & Technology Co., Ltd.",QCR-2,plated and available for follow-up,https://reframedb.org//compound_data/SJDDOCKBXFJEJB;qid=Q27075000
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,FDMQDKQUTRLUBU,Olmutinib; Olita,WuXi,CBR-HVAC-14009,plated and available for follow-up,https://reframedb.org//compound_data/FDMQDKQUTRLUBU;qid=Q27088175
C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)O)C(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)[C@@H](CCC(=O)O)[C@@H]3C,VSEIDZLLWQQJGK,Aptocine; talaporfin sodium,MedChem Express,HY-16477,plated and available for follow-up,https://reframedb.org//compound_data/VSEIDZLLWQQJGK;qid=Q7678897
CN(C)CCN1CCN(c2cccc(Cl)c2)C1=O,KACVTTZEMNWITH,Imidoline,Ambinter,Amb22455438,plated and available for follow-up,https://reframedb.org//compound_data/KACVTTZEMNWITH;qid=Q27276552
NCCS,UFULAYFCSOUIOV,Cystadrops; Cystaran,Sigma-Aldrich,110965197,plated and available for follow-up,https://reframedb.org//compound_data/UFULAYFCSOUIOV;qid=Q617563
CCCCCN(CCO)c1cc(N2CCCCC2)nc2ncnn12,JANOITYENFDMAC,AR 12463,WuXi,CBR-HVAC-13365,plated and available for follow-up,https://reframedb.org//compound_data/JANOITYENFDMAC;qid=Q27294393
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ZQSIJRDFPHDXIC,daidzein; daidzeol; Daidzein,MedChem Express,HY-N0019,plated and available for follow-up,https://reframedb.org//compound_data/ZQSIJRDFPHDXIC;qid=Q82871170
COC1=CC(=O)OC1C(O)c1ccc(Cl)cc1Cl,HCCIRTJUZYYAJD,AO-78,AMS Private Supplier 1,A001095257,plated and available for follow-up,https://reframedb.org//compound_data/HCCIRTJUZYYAJD;qid=nan
CC(=O)NC(=O)c1ccccc1O,JZWFDVDETGFGFC,Salacetamide,Frontier Scientific,500008105,plated and available for follow-up,https://reframedb.org//compound_data/JZWFDVDETGFGFC;qid=Q27268218
CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CXDWHYOBSJTRJU,Algestone,Carbosynth,FA17278,plated and available for follow-up,https://reframedb.org//compound_data/CXDWHYOBSJTRJU;qid=Q4724191
CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,HCDMJFOHIXMBOV,pemigatinib; Pemazyre,MedChem Express,HY-109099,plated and available for follow-up,https://reframedb.org//compound_data/HCDMJFOHIXMBOV;qid=Q96398739
Cc1cnc2c(c1)CCCC2C(N)=S,AIMIAJHGOMWBQG,Tiquinamide,Pharmaron,PH-CBR-2016-003-HVAC-08881,plated and available for follow-up,https://reframedb.org//compound_data/AIMIAJHGOMWBQG;qid=Q15427878
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,GJJFMKBJSRMPLA,milnacipran; Levomilnacipran,Sigma-Aldrich,MFCD05662356,plated and available for follow-up,https://reframedb.org//compound_data/GJJFMKBJSRMPLA;qid=Q6535779
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,GGXKWVWZWMLJEH,Famvir; famciclovir,Sigma-Aldrich,F7932,plated and available for follow-up,https://reframedb.org//compound_data/GGXKWVWZWMLJEH;qid=Q82579203
CCCNC1CCc2nc(N)sc2C1,FASDKYOPVNHBLU,dexpramipexole dihydrochloride; Pramipexole dihydrochloride,Carbosynth,FP27118,plated and available for follow-up,https://reframedb.org//compound_data/FASDKYOPVNHBLU;qid=Q81977051
CC(=O)OCCN(CCOC(C)=O)C(=O)[C@@H]1CC2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,LXWNLFQDQZPCPP,AWD 5239; AWD-5239,Chempartner,SP-0016649-038,plated and available for follow-up,https://reframedb.org//compound_data/LXWNLFQDQZPCPP;qid=Q82880998
CC[C@H]1CC2CN3CCc4c([nH]c5ccccc45)[C@](C(=O)OC)(C2)C13,NVVDQMVGALBDGE,Coronaridine,Specs,AK-693/21159018,plated and available for follow-up,https://reframedb.org//compound_data/NVVDQMVGALBDGE;qid=Q5172181
CCC(=O)NS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(Cl)cc(C#N)c2)c(C)c1,GAQZNFUDILDDDI,GW-5634,Chempartner,SP-16119-049,plated and available for follow-up,https://reframedb.org//compound_data/GAQZNFUDILDDDI;qid=Q27460948
CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,WGJHHMKQBWSQIY,Ethoheptazine,Chempartner,SP-0016868-071,plated and available for follow-up,https://reframedb.org//compound_data/WGJHHMKQBWSQIY;qid=Q5404408
O=C(O)c1ccccc1O,YGSDEFSMJLZEOE,Cadmium salicylate; Choline salicylate,Sigma-Aldrich,MFCD00002439,plated and available for follow-up,https://reframedb.org//compound_data/YGSDEFSMJLZEOE;qid=Q82934161
CC(=O)Nc1ccc([C@H](C)C(=O)Nc2ncc(C(C)C)s2)cc1,NFSKEXQRNDSSAN,PHA-690509,AK Scientific,SYN1097,plated and available for follow-up,https://reframedb.org//compound_data/NFSKEXQRNDSSAN;qid=nan
Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,KURQKNMKCGYWRJ,ciforadenant; V-81444,MedChem Express,HY-101978,plated and available for follow-up,https://reframedb.org//compound_data/KURQKNMKCGYWRJ;qid=Q76614076
CC(C)(N)c1ccc(C(F)(F)C(F)(F)c2ccccc2)cc1,YTXBIQSEDPVQBC,MK-251,WuXi,CBR-HVAC-08056,plated and available for follow-up,https://reframedb.org//compound_data/YTXBIQSEDPVQBC;qid=Q83066126
CC[C@]12CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(c4cc5c(cc4OC)N(C)[C@H]4[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]6(CC)C=CCN7CC[C@]54[C@@H]76)C[C@H](C3)[C@H]1O2,LPGWZGMPDKDHEP,Vinleurosine,Toronto Research Chemicals,L330800,plated and available for follow-up,https://reframedb.org//compound_data/LPGWZGMPDKDHEP;qid=Q82881726
Oc1ccc(Cl)cc1Cc1ccccc1,NCKMMSIFQUPKCK,Clorophene,Enamine,EN300-21338,plated and available for follow-up,https://reframedb.org//compound_data/NCKMMSIFQUPKCK;qid=Q82870966
O=C(O)CCS[C@@H](CC(=O)O)c1ccccc1CCCCCCCCc1ccccc1,QTZPRMCKSZATQD,SK&F-S-106203; SK&F-106203,Chempartner,SP-0017717-195,plated and available for follow-up,https://reframedb.org//compound_data/QTZPRMCKSZATQD;qid=nan
O=c1[nH]c2sc(Cl)c(-c3ccc4c(c3O)CCCC4)c2c(O)c1-c1ccccc1,KPNBBJGVCJQHBR,PXL-770,WuXi,CBR-HVAC-13904,plated and available for follow-up,https://reframedb.org//compound_data/KPNBBJGVCJQHBR;qid=nan
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,YTRMTPPVNRALON,Cinchophen,Enamine,EN300-16799,plated and available for follow-up,https://reframedb.org//compound_data/YTRMTPPVNRALON;qid=Q5120196
c1cn2cc(-c3ccc4c(c3)nc3n4CCN4CCCCC4C3)ccc2n1,HCKNYEGHWWKJLK,Histamine H3 Receptor Antagonist Sunovion,WuXi,CBR-HVAC-07108_B,plated and available for follow-up,https://reframedb.org//compound_data/HCKNYEGHWWKJLK;qid=nan
C/C(O)=C/C(C)=N\CC/N=C(C)/C=C(\C)O,JDMZLGCGEHFWPX,Doxovir; Doxovir-M,Specs,AH-034/32860041,plated and available for follow-up,https://reframedb.org//compound_data/JDMZLGCGEHFWPX;qid=nan
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,SMTZFNFIKUPEJC,Roxatidine acetate; Altat,MedChem Express,HY-B0305A,plated and available for follow-up,https://reframedb.org//compound_data/SMTZFNFIKUPEJC;qid=Q20077596
C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,ZRYHPQCHHOKSMD,Hexocyclium methylsulfate,(Kal) Sigma-Aldrich,MFCD00031863,plated and available for follow-up,https://reframedb.org//compound_data/ZRYHPQCHHOKSMD;qid=Q5749037
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,AFJRDFWMXUECEW,GSK-2110183; afuresertib,Selleck Chemicals,S7521,plated and available for follow-up,https://reframedb.org//compound_data/AFJRDFWMXUECEW;qid=Q27074327
C[C@@H]1CC[C@H](C(O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,HWLLYFXDDGGHOE,LGD-2941; LGD-122941,WuXi,CBR-HVAC-06666,plated and available for follow-up,https://reframedb.org//compound_data/HWLLYFXDDGGHOE;qid=Q27095576
CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,KBUZBQVCBVDWKX,emedastine difumarate; Allesaga,TCI Europe,E0936,plated and available for follow-up,https://reframedb.org//compound_data/KBUZBQVCBVDWKX;qid=Q5370305
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,QHMWCHQXCUNUAK,flutrimazole; Cutiman,Accela Chembio,SY024110,plated and available for follow-up,https://reframedb.org//compound_data/QHMWCHQXCUNUAK;qid=Q5462984
Nc1ncnc2c1ncn2CC(O)CF,WPTPBNGRDOOTAZ,,Chempartner,SP-17673-001,plated and available for follow-up,https://reframedb.org//compound_data/WPTPBNGRDOOTAZ;qid=nan
COC(=O)c1c(C(=O)OC)c(-c2ccc(OC)c(OC)c2)c2c(OC)c(OC)c(OC)cc2c1O,DTCYXOLBEPGOHV,TA-7552,WuXi,CBR-HVAC-08396,plated and available for follow-up,https://reframedb.org//compound_data/DTCYXOLBEPGOHV;qid=Q83011556
COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)N[C@@H](C)C4)cc3)n[nH]2)cc(OC)c1,VRQMAABPASPXMW,AZD-4547; fexagratinib,Lancrix Chemicals,46405,plated and available for follow-up,https://reframedb.org//compound_data/VRQMAABPASPXMW;qid=Q27074746
Cc1cccc(COc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)c1,CXEKSVVDMIAMLF,aderamastat; FP-025,Target Molecule Corp.,T83168,plated and available for follow-up,https://reframedb.org//compound_data/CXEKSVVDMIAMLF;qid=nan
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,OHRURASPPZQGQM,romidepsin; Istodax,Broadpharm,BP-40074,plated and available for follow-up,https://reframedb.org//compound_data/OHRURASPPZQGQM;qid=Q7363205
COc1cc(CC(=O)NN(c2ccc(Cc3ccccc3)cc2)c2c(C)cccc2N2CCCCC2)c(Br)cc1C(=O)O,IYWCUQWSZXLRNG,AP-611074,Pharmaron,PH-CBR-2016-003-HVAC-12585,plated and available for follow-up,https://reframedb.org//compound_data/IYWCUQWSZXLRNG;qid=nan
Cc1oc2nc3c(c(NC(=O)CN4CCCC4=O)c2c1C)CCCC3,PSPGQHXMUKWNDI,coluracetam; BCI-540,Sigma-Aldrich,MFCD00901416,plated and available for follow-up,https://reframedb.org//compound_data/PSPGQHXMUKWNDI;qid=Q3683872
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132,ATLJNLYIJOCWJE,RBG; resibufogenin; Resibufogenin,MedChem Express,HY-N0815,plated and available for follow-up,https://reframedb.org//compound_data/ATLJNLYIJOCWJE;qid=Q63391924
O=C(O)c1ccccc1S,NBOMNTLFRHMDEZ,Merzonin; Merthiolate,Sigma-Aldrich,MFCD00004836,plated and available for follow-up,https://reframedb.org//compound_data/NBOMNTLFRHMDEZ;qid=Q27126476
CC(=O)Nc1ccc(O)cc1OC[C@@](C)(O)CNC1CCN(Cc2ccc(Cl)cc2)CC1,RKWKLTLIBREDHD,AZD4818,Pharmaron,55984-046R2,plated and available for follow-up,https://reframedb.org//compound_data/RKWKLTLIBREDHD;qid=nan
CC(C)(C)c1ccc2c(S(=O)(=O)O)c(C(C)(C)C)ccc2c1,WBEBQCINXJDZCX,Sodium dibunate,AK Scientific,69101,plated and available for follow-up,https://reframedb.org//compound_data/WBEBQCINXJDZCX;qid=Q1969733
CCOc1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1,PRDFBSVERLRRMY,HOECHST 33342,Enzo Life sciences,BML-GR303-0100,plated and available for follow-up,https://reframedb.org//compound_data/PRDFBSVERLRRMY;qid=Q274133
CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,XCVUOCMQYKSJJR,RPI 312,Chempartner,V2477544,plated and available for follow-up,https://reframedb.org//compound_data/XCVUOCMQYKSJJR;qid=Q27149152
c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,YIQPUIGJQJDJOS,Plerixafor; Mozobil,Sigma-Aldrich,A5602,plated and available for follow-up,https://reframedb.org//compound_data/YIQPUIGJQJDJOS;qid=Q905835
COCCCN1CC[C@@H](CNC(=O)c2cc(Cl)c(N)c3c2OC(C)(C)C3)[C@H](O)C1,FOUUNSGQVBGYQM,revexepride; M-0003,WuXi,CBR-HVAC-05132,plated and available for follow-up,https://reframedb.org//compound_data/FOUUNSGQVBGYQM;qid=Q27270174
O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,YGKPIROTKVQCCU,SB 203186,Sigma-Aldrich,S0443,plated and available for follow-up,https://reframedb.org//compound_data/YGKPIROTKVQCCU;qid=Q27088698
